"id","mercedes_c","vw_golf","vw_passat","bmw_320","opel_astra","diesel","other_car_owner","pm_green","private_seller","guarantee","inspection","maintenance_cert","co2_em","euro_norm","mile_20","mile_30","mile_40","mile_50","mile_100","mile_150","mileage","mileage2","age_3","age_6","age_car_years","age_car_years2"
104720,0,1,0,0,0,0,0,0,1,0,2,1,117,5,1,1,1,0,0,0,40,1600,0,0,2.5,6.25
32761,0,0,1,0,0,1,0,0,1,0,2,0,148,5,1,1,1,1,1,0,139.8,19544.04,1,0,5.7,32.49
32601,0,0,1,0,0,0,0,1,0,0,1,1,204,4,1,1,1,1,1,0,134,17956,1,1,8.9,79.21
53732,0,0,1,0,0,1,2,1,0,0,1,1,122,5,1,1,0,0,0,0,34.85,1214.5225,0,0,1.6,2.56
3655,0,1,0,0,0,1,1,1,0,0,0,1,139,5,1,1,1,1,0,0,90.142,8125.580164,1,0,4.9,24.01
98140,1,0,0,0,0,1,1,1,0,0,1,1,115,6,1,1,0,0,0,0,31.299,979.627401,0,0,1.2,1.44
93460,0,0,1,0,0,1,2,0,1,0,1,1,153,4,1,1,1,1,1,1,155.3,24118.09,1,1,9.4,88.36
100969,0,0,1,0,0,1,1,1,0,0,0,1,120,5,1,1,1,1,0,0,95.001,9025.190001,1,0,4.9,24.01
31090,0,0,1,0,0,1,1,1,0,1,2,1,120,5,1,1,1,1,0,0,72.5,5256.25,1,0,3.1,9.61
12694,0,1,0,0,0,1,1,1,0,0,0,0,109,5,1,1,1,1,0,0,73.53,5406.6609,1,0,3.6,12.96
79218,0,0,0,1,0,0,0,0,1,0,2,0,147,4,1,1,1,1,0,0,74,5476,1,1,7.1,50.41
42633,0,1,0,0,0,1,1,1,0,0,1,1,119,5,1,1,1,1,1,0,115.422,13322.238084,0,0,2.6,6.76
96164,0,0,0,1,0,1,1,0,0,0,2,1,123,5,1,1,1,1,1,0,145,21025,1,0,3.5,12.25
53417,0,0,0,1,0,1,1,0,0,0,0,1,120,5,1,1,1,1,1,1,159.856,25553.940736,1,0,5.6,31.36
89115,0,1,0,0,0,0,2,1,0,0,0,1,176,4,1,1,1,1,0,0,51.98,2701.9204,1,1,6.9,47.61
72403,0,0,0,1,0,1,1,1,0,0,0,0,127,5,0,0,0,0,0,0,17.013,289.442169,0,0,1.2,1.44
93164,0,1,0,0,0,0,2,0,1,0,0,1,124,5,1,0,0,0,0,0,29.8,888.04,0,0,1.4,1.96
28375,0,0,1,0,0,1,1,1,0,0,0,1,135,5,1,1,1,1,0,0,52.88,2796.2944,0,0,2.5,6.25
23076,0,0,0,1,0,1,1,1,0,0,0,1,146,4,1,1,1,1,0,0,91.147,8307.775609,1,1,6.3,39.69
67973,0,1,0,0,0,1,1,1,0,0,2,0,139,5,1,1,1,1,1,0,140.55,19754.3025,1,0,4.4,19.36
11645,0,1,0,0,0,0,2,1,1,0,1,1,154,4,1,1,1,1,1,0,112.6,12678.76,1,1,7,49
47651,0,1,0,0,0,0,2,1,0,0,0,1,124,5,0,0,0,0,0,0,17.217,296.425089,0,0,1.5,2.25
95408,1,0,0,0,0,1,0,1,1,0,2,0,153,5,1,1,1,1,1,0,124,15376,1,0,5.1,26.01
2019,0,0,1,0,0,1,1,1,0,0,0,1,146,5,1,1,1,1,1,1,158,24964,1,1,6.3,39.69
102702,0,0,0,0,1,0,2,1,0,0,1,0,158,4,1,1,1,1,1,0,110,12100,1,1,7.6,57.76
12674,0,0,0,0,1,1,1,1,0,0,0,1,119,5,1,1,1,1,1,0,130.9,17134.81,1,0,3.4,11.56
73012,0,0,0,0,1,1,1,1,0,0,2,0,128,5,1,1,1,1,0,0,70.988,5039.296144,1,0,3.2,10.24
78420,0,0,0,1,0,1,1,1,0,0,0,1,133,5,0,0,0,0,0,0,13.7,187.69,0,0,1.3,1.69
49295,0,1,0,0,0,0,1,1,0,0,1,1,149,5,1,1,1,1,0,0,61.379,3767.381641,1,0,3.1,9.61
95422,0,1,0,0,0,1,0,1,0,0,0,0,159,4,1,1,1,1,1,1,178.233,31767.002289,1,1,8.4,70.56
12655,0,0,1,0,0,1,1,1,0,0,0,1,124,5,1,1,1,1,1,1,157,24649,1,0,3.3,10.89
1566,0,1,0,0,0,1,1,0,0,0,1,1,102,5,1,1,0,0,0,0,34.6,1197.16,0,0,1.3,1.69
40594,1,0,0,0,0,1,1,1,0,0,0,1,133,5,1,1,1,1,1,0,138.9,19293.21,1,0,4.6,21.16
738,0,0,1,0,0,1,1,1,0,0,1,1,120,5,1,1,1,1,0,0,64.9,4212.01,1,0,4.3,18.49
58850,1,0,0,0,0,1,2,1,0,0,1,1,127,5,1,1,1,1,0,0,63.89,4081.9321,1,0,4.2,17.64
64206,0,0,0,1,0,1,1,1,0,0,1,1,119,5,1,1,1,1,0,0,82.088,6738.439744,1,0,3.1,9.61
84956,0,0,0,1,0,1,1,1,0,0,1,1,119,6,1,1,0,0,0,0,35.712,1275.346944,0,0,2.5,6.25
48923,1,0,0,0,0,1,1,1,0,0,1,1,121,6,1,0,0,0,0,0,22,484,0,0,1.1,1.21
58623,0,1,0,0,0,0,1,1,0,0,1,1,146,5,1,1,1,0,0,0,45.827,2100.113929,1,0,4.2,17.64
12066,0,1,0,0,0,0,2,1,1,0,0,1,176,4,1,1,1,1,1,1,150,22500,1,1,7.9,62.41
44947,0,0,1,0,0,1,1,1,0,0,2,0,135,5,1,1,1,1,0,0,79.87,6379.2169,1,0,3.2,10.24
45330,0,1,0,0,0,1,1,1,0,0,1,1,119,5,1,1,1,1,0,0,59.783,3574.007089,0,0,2.5,6.25
45643,0,0,1,0,0,0,1,0,0,0,0,1,149,5,1,1,1,1,0,0,60.5,3660.25,1,0,4.5,20.25
16306,0,1,0,0,0,0,1,1,0,1,1,1,124,5,1,1,0,0,0,0,37.129,1378.562641,1,1,6.7,44.89
72264,1,0,0,0,0,1,3,1,0,0,1,1,195,5,1,1,1,1,1,0,138.5,19182.25,1,0,4.6,21.16
38338,0,0,0,0,1,1,1,1,0,0,1,0,116,5,1,1,1,1,0,0,74.5,5550.25,0,0,2.1,4.41
43537,0,1,0,0,0,0,1,1,0,0,1,1,126,5,1,0,0,0,0,0,26.41,697.4881,0,0,1.2,1.44
54413,1,0,0,0,0,1,1,1,0,0,1,1,127,5,1,1,1,1,0,0,98.047,9613.214209,0,0,2.6,6.76
42864,0,0,0,1,0,1,1,1,0,0,2,1,128,5,1,1,1,1,0,0,68.853,4740.735609,1,0,4.4,19.36
36549,0,0,0,1,0,0,0,1,0,0,0,0,182,4,1,1,1,1,1,0,139,19321,1,1,10,100
45399,0,1,0,0,0,1,1,1,0,0,1,1,128,5,1,1,1,1,0,0,93.609,8762.644881,1,0,3.7,13.69
43534,0,0,0,1,0,0,2,1,0,0,0,0,178,5,1,1,1,1,0,0,54.574,2978.321476,1,0,3.7,13.69
79452,0,0,0,1,0,1,2,1,0,0,0,1,158,4,1,1,1,1,1,1,170,28900,1,1,8.8,77.44
14153,0,0,0,1,0,1,2,1,1,0,0,1,123,5,1,1,0,0,0,0,39.1,1528.81,0,0,2.2,4.84
89784,0,0,0,0,1,0,1,1,0,0,1,1,163,4,1,1,1,1,0,0,91,8281,1,1,6.9,47.61
49709,0,1,0,0,0,1,1,1,0,0,1,1,119,5,1,1,1,1,1,0,102.504,10507.070016,1,0,5.5,30.25
86540,0,0,0,1,0,1,1,1,0,0,1,1,119,5,1,1,1,1,0,0,97.907,9585.780649,0,0,2.9,8.41
100669,0,0,0,1,0,1,1,1,0,0,1,1,135,5,1,1,1,0,0,0,43.3,1874.89,0,0,2.3,5.29
101778,0,0,1,0,0,1,1,1,0,0,0,1,124,5,1,1,1,1,1,0,119.493,14278.577049,1,0,3.5,12.25
37757,1,0,0,0,0,1,2,1,0,0,0,1,180,4,1,1,1,1,1,1,187,34969,1,1,7.1,50.41
103559,1,0,0,0,0,1,1,1,1,0,1,1,108,6,1,0,0,0,0,0,20,400,0,0,1.1,1.21
74825,0,1,0,0,0,1,1,1,0,0,0,1,119,5,1,1,1,1,0,0,85.117,7244.903689,1,0,5.7,32.49
21979,0,0,1,0,0,1,1,1,0,0,1,1,120,5,1,0,0,0,0,0,26.8,718.24,0,0,1,1
8842,0,0,1,0,0,1,1,1,0,0,0,1,120,5,1,1,1,1,0,0,94.35,8901.9225,1,0,3.3,10.89
8053,0,0,0,1,0,1,1,1,0,0,1,1,114,5,1,1,1,1,1,0,111,12321,0,0,2.3,5.29
75380,1,0,0,0,0,1,2,1,0,0,1,1,159,4,1,1,1,1,1,1,178,31684,1,1,8,64
58151,0,0,0,1,0,0,0,1,0,0,1,0,149,5,1,1,0,0,0,0,37.7,1421.29,1,1,7.4,54.76
22420,0,0,0,1,0,0,2,1,0,0,2,1,182,4,1,1,1,1,1,0,146.1,21345.21,1,1,9.6,92.16
37330,0,0,0,1,0,1,1,1,0,0,1,0,125,5,1,1,1,1,1,0,139.073,19341.299329,1,0,3.2,10.24
35987,0,0,1,0,0,1,0,0,0,0,2,0,135,5,1,1,1,1,1,0,148.465,22041.856225,1,0,3.2,10.24
88937,0,0,1,0,0,1,1,1,0,0,1,1,123,5,1,1,1,1,1,0,112,12544,1,0,3.2,10.24
53569,0,0,1,0,0,0,2,1,0,0,0,1,197,4,1,1,1,1,0,0,75,5625,1,1,8.1,65.61
36105,0,0,1,0,0,1,0,0,0,0,2,0,120,5,1,1,1,1,1,1,176.419,31123.663561,1,0,4.7,22.09
54643,0,0,1,0,0,0,1,1,0,0,0,1,181,4,1,1,1,1,0,0,93.475,8737.575625,1,1,9.2,84.64
50951,0,0,1,0,0,1,1,1,0,0,1,1,151,5,1,1,1,1,1,0,143.99,20733.1201,1,0,4.3,18.49
72106,0,0,1,0,0,1,1,0,0,0,2,1,120,5,1,1,1,1,1,0,131,17161,0,0,2.3,5.29
96827,0,0,1,0,0,1,1,1,0,0,1,0,123,5,1,1,1,1,0,0,68.5,4692.25,1,0,3.6,12.96
60856,0,0,1,0,0,1,1,1,0,0,1,0,122,5,1,1,1,1,0,0,81.572,6653.991184,1,0,3.2,10.24
44631,1,0,0,0,0,1,1,1,0,0,2,1,127,5,1,1,1,1,1,0,139.9,19572.01,0,0,2.8,7.84
2921,0,1,0,0,0,0,1,1,0,1,1,1,123,5,1,1,1,1,0,0,79.875,6380.015625,1,0,4.2,17.64
98937,0,0,1,0,0,1,1,1,0,0,1,1,149,5,1,1,1,1,1,0,127,16129,1,0,3.9,15.21
51695,1,0,0,0,0,1,2,1,0,0,1,0,178,4,1,1,1,1,1,1,197.877,39155.307129,1,1,8,64
70370,0,0,1,0,0,0,1,1,0,0,2,1,119,6,1,0,0,0,0,0,27.26,743.1076,0,0,1,1
6539,0,0,0,0,1,0,1,1,1,0,1,1,161,4,1,1,1,1,1,1,179,32041,1,1,9.3,86.49
88445,0,1,0,0,0,0,2,1,0,0,1,1,168,5,1,1,1,1,0,0,55.2,3047.04,1,0,5.2,27.04
26309,0,0,1,0,0,1,1,1,0,0,0,1,123,5,1,1,1,1,0,0,99.568,9913.786624,1,0,3.6,12.96
103286,0,1,0,0,0,1,1,1,0,0,1,0,102,5,1,1,1,0,0,0,42.899,1840.324201,0,0,2.3,5.29
42687,0,1,0,0,0,1,1,1,0,0,1,1,103,6,0,0,0,0,0,0,15,225,0,0,1.8,3.24
46070,0,0,0,1,0,1,0,1,0,0,0,1,130,5,1,1,1,1,1,1,182.77,33404.8729,1,1,6.8,46.24
68979,0,0,1,0,0,1,0,1,0,0,1,1,136,5,1,1,1,1,1,0,112.5,12656.25,0,0,2.6,6.76
65218,0,0,0,1,0,1,2,1,0,0,1,1,124,5,1,1,1,0,0,0,42.312,1790.305344,1,0,3.2,10.24
30868,0,0,1,0,0,1,1,1,0,0,1,1,122,5,1,1,1,1,1,1,150.561,22668.614721,1,0,3.3,10.89
80309,0,0,1,0,0,1,1,1,0,0,1,1,135,5,1,1,1,1,1,0,125,15625,1,0,3.4,11.56
32016,0,0,0,1,0,1,1,1,0,0,0,0,128,5,1,1,0,0,0,0,37.488,1405.350144,1,0,3.5,12.25
71517,0,1,0,0,0,0,1,1,0,0,1,1,115,6,1,0,0,0,0,0,23.6,556.96,0,0,1,1
3610,1,0,0,0,0,1,1,1,0,0,1,1,124,5,1,1,1,1,0,0,62.255,3875.685025,1,0,3.3,10.89
31187,1,0,0,0,0,1,2,1,1,0,1,1,176,4,1,1,1,1,1,0,108.9,11859.21,1,0,5.3,28.09
17172,0,1,0,0,0,1,1,1,0,0,0,1,119,5,1,1,1,1,0,0,70.5,4970.25,1,0,4.3,18.49
28435,0,0,0,1,0,0,0,1,0,0,1,1,156,4,1,1,1,1,0,0,80,6400,1,1,7,49
33479,0,0,1,0,0,0,2,1,0,0,0,1,181,4,1,1,1,1,1,0,120,14400,1,1,9.9,98.01
91679,0,0,1,0,0,1,0,1,0,0,2,1,117,5,1,1,0,0,0,0,37.445,1402.128025,1,0,4.1,16.81
55406,0,0,0,0,1,1,0,0,0,0,0,0,119,5,1,1,1,1,0,0,74.813,5596.984969,1,0,4.2,17.64
4680,0,1,0,0,0,1,1,1,0,1,1,1,139,4,1,1,1,0,0,0,44,1936,1,1,6.3,39.69
50963,0,0,0,1,0,1,2,1,0,0,1,0,158,4,1,1,1,1,0,0,77.525,6010.125625,1,1,8.9,79.21
80260,0,0,1,0,0,0,2,1,0,1,1,1,142,5,1,1,1,1,0,0,69.49,4828.8601,1,0,4.5,20.25
43297,0,0,1,0,0,1,1,1,0,0,1,1,135,5,1,1,1,1,1,1,189,35721,1,0,3.3,10.89
50216,0,0,1,0,0,1,2,1,0,0,0,1,180,4,1,1,1,1,1,0,136,18496,1,1,8,64
22836,0,0,1,0,0,1,1,1,0,0,2,0,189,4,1,1,1,1,1,1,196,38416,1,1,8.4,70.56
83589,0,0,0,1,0,1,0,1,1,0,2,1,125,4,1,1,1,1,1,1,165,27225,1,1,8.3,68.89
54176,0,1,0,0,0,0,0,1,0,0,0,0,136,5,1,1,1,0,0,0,47.5,2256.25,0,0,2.8,7.84
85125,0,0,0,1,0,1,2,1,0,0,0,1,159,4,1,1,1,1,1,1,159.422,25415.374084,1,1,6.4,40.96
99922,0,0,1,0,0,1,0,1,0,0,1,1,135,5,1,1,1,0,0,0,41,1681,0,0,1.6,2.56
36478,0,0,1,0,0,1,1,1,0,1,1,1,122,5,1,1,1,1,0,0,79.99,6398.4001,1,0,4.2,17.64
25023,0,0,1,0,0,1,1,1,0,0,0,1,113,5,1,1,1,1,1,0,109,11881,1,0,4.4,19.36
76396,1,0,0,0,0,1,1,1,0,0,0,1,124,5,1,1,1,1,1,0,121.377,14732.376129,1,0,3.7,13.69
56419,1,0,0,0,0,0,2,1,0,0,1,1,172,5,1,1,1,1,0,0,59.585,3550.372225,1,0,5.8,33.64
96577,0,0,0,0,1,1,1,1,0,0,1,1,114,5,1,1,1,1,1,0,117.133,13720.139689,1,0,3.6,12.96
41306,0,0,0,1,0,1,1,1,0,0,2,1,129,5,1,0,0,0,0,0,24.608,605.553664,0,0,1.1,1.21
13626,1,0,0,0,0,0,2,1,0,0,0,1,223,4,1,1,1,1,0,0,99.654,9930.919716,1,1,7.6,57.76
17037,0,0,0,1,0,0,2,1,1,0,0,1,177,4,1,1,1,1,1,1,162,26244,1,1,11.8,139.24
66818,1,0,0,0,0,1,1,1,0,0,1,1,127,5,1,1,1,1,0,0,90.864,8256.266496,0,0,2.2,4.84
31256,0,0,0,1,0,0,2,0,0,0,0,0,177,4,1,1,1,1,1,1,180,32400,1,1,10.6,112.36
55013,0,0,0,0,1,0,0,0,1,0,0,1,149,5,1,1,1,1,0,0,87,7569,1,0,4.2,17.64
88500,0,1,0,0,0,1,1,1,0,0,0,0,102,6,0,0,0,0,0,0,14.95,223.5025,0,0,1.4,1.96
77993,0,0,0,1,0,1,1,1,0,0,1,0,124,5,1,1,1,0,0,0,45.01,2025.9001,0,0,2.9,8.41
61473,0,0,0,0,1,0,2,1,0,0,1,0,139,5,1,1,1,1,0,0,64.588,4171.609744,1,0,3.2,10.24
43018,1,0,0,0,0,0,1,1,0,0,2,1,226,4,1,1,1,1,0,0,58,3364,1,1,7.3,53.29
13466,0,0,0,1,0,0,0,1,0,0,1,1,147,4,1,1,1,1,0,0,83,6889,1,1,6.2,38.44
88798,1,0,0,0,0,1,1,1,0,1,1,1,134,5,1,1,1,1,0,0,91.682,8405.589124,1,0,3.1,9.61
8295,0,1,0,0,0,1,2,1,0,0,0,1,125,5,1,1,1,1,0,0,59.5,3540.25,1,0,3.4,11.56
72597,0,0,0,1,0,0,2,1,1,0,1,0,177,4,1,1,1,1,1,1,179,32041,1,1,12.5,156.25
14636,0,0,0,1,0,0,2,1,0,0,0,1,177,4,1,1,1,1,1,1,164,26896,1,1,10.6,112.36
56015,1,0,0,0,0,1,1,1,0,0,1,1,124,5,1,1,1,1,1,0,110.803,12277.304809,1,0,3.3,10.89
70710,0,0,0,0,1,0,2,1,0,1,1,0,151,4,1,1,1,1,0,0,66.7,4448.89,1,0,5.7,32.49
33456,0,1,0,0,0,1,1,1,0,0,1,1,128,5,1,1,1,1,1,0,104.4,10899.36,1,0,3.1,9.61
93358,0,0,0,1,0,1,2,1,0,0,1,1,124,5,1,1,1,1,1,0,106.8,11406.24,1,0,3.6,12.96
76437,0,0,0,1,0,1,1,1,0,0,1,0,119,5,1,1,1,1,0,0,86.1,7413.21,1,0,3.2,10.24
10679,0,0,1,0,0,1,1,1,0,1,0,1,136,5,1,1,1,1,1,0,135.67,18406.3489,0,0,2.5,6.25
47640,0,1,0,0,0,0,1,1,0,1,1,1,119,5,1,0,0,0,0,0,24.546,602.506116,0,0,1.1,1.21
69178,0,0,0,1,0,0,0,0,1,0,2,0,147,5,1,1,1,1,0,0,53.9,2905.21,1,0,3.9,15.21
61461,1,0,0,0,0,1,1,1,0,1,1,1,130,5,1,1,1,1,1,0,112.817,12727.675489,1,0,4,16
80002,0,0,0,0,1,1,1,1,0,0,2,0,109,5,1,1,1,0,0,0,48.104,2313.994816,0,0,2.1,4.41
16231,1,0,0,0,0,1,0,1,0,0,2,1,124,5,1,1,1,1,0,0,75,5625,1,0,4,16
53499,0,0,0,1,0,1,2,1,0,0,0,0,120,5,1,1,1,1,0,0,92,8464,1,0,4.9,24.01
85983,0,1,0,0,0,1,1,1,0,0,1,1,139,5,1,1,1,1,1,0,131.8,17371.24,1,0,3.2,10.24
91203,1,0,0,0,0,1,0,1,0,0,2,1,124,5,1,1,1,1,1,0,106.8,11406.24,1,0,3.8,14.44
76715,1,0,0,0,0,1,1,1,0,1,1,1,157,5,1,1,1,1,1,0,149.8,22440.04,1,0,5.4,29.16
86461,0,1,0,0,0,1,1,1,0,0,1,0,102,5,1,1,1,1,1,1,174.441,30429.662481,0,0,2.5,6.25
74695,0,1,0,0,0,1,1,1,0,0,2,1,103,6,1,0,0,0,0,0,24.55,602.7025,0,0,1,1
49471,0,0,0,1,0,1,1,1,0,0,0,1,142,5,1,1,1,1,1,1,171.2,29309.44,1,0,5.5,30.25
103930,0,0,1,0,0,1,1,1,0,0,1,1,122,5,1,1,1,1,0,0,76.37,5832.3769,0,0,2.3,5.29
28081,0,0,1,0,0,1,1,1,0,0,1,0,121,5,1,1,1,1,0,0,84.6,7157.16,1,0,4.7,22.09
4137,0,0,1,0,0,0,1,1,1,0,0,1,213,4,1,1,1,1,1,1,150,22500,1,1,7.8,60.84
10742,0,1,0,0,0,1,0,1,0,0,2,0,139,4,1,1,1,1,1,0,140.717,19801.274089,1,1,6.4,40.96
64616,0,0,0,1,0,0,0,1,0,0,0,1,158,5,1,0,0,0,0,0,25,625,0,0,2.5,6.25
60425,0,1,0,0,0,0,0,1,0,0,2,0,109,5,1,1,1,1,1,0,131.864,17388.114496,1,0,4.2,17.64
17474,0,0,1,0,0,1,0,0,1,0,2,0,158,4,1,1,1,1,1,1,159.999,25599.680001,1,1,9.6,92.16
93577,0,0,0,1,0,1,2,0,1,0,0,1,128,5,1,1,1,1,1,1,184.5,34040.25,1,0,4.6,21.16
66541,0,0,0,1,0,1,1,1,0,0,1,1,120,5,1,1,1,1,1,1,196,38416,1,0,4.2,17.64
98316,0,0,1,0,0,1,1,1,0,0,2,1,124,5,1,1,1,1,1,0,119.52,14285.0304,1,0,3.8,14.44
20636,0,0,1,0,0,1,0,1,0,0,2,0,120,5,1,1,1,1,1,0,116.72,13623.5584,1,0,3.4,11.56
17093,0,1,0,0,0,1,1,1,0,1,1,1,119,5,1,1,1,1,0,0,91.095,8298.299025,1,0,3.2,10.24
62879,0,0,0,1,0,1,1,1,0,0,1,1,124,5,1,1,1,1,1,0,122,14884,1,0,3.2,10.24
65392,0,0,0,1,0,1,2,1,0,0,0,1,132,5,1,0,0,0,0,0,22.815,520.524225,0,0,1.7,2.89
43504,0,0,0,0,1,1,1,1,0,0,0,1,109,5,1,1,1,0,0,0,42.416,1799.117056,1,0,3.8,14.44
65041,0,0,1,0,0,1,2,1,0,0,1,0,122,5,1,1,1,1,0,0,79.555,6328.998025,0,0,2.7,7.29
9577,1,0,0,0,0,0,2,1,0,0,0,1,223,4,1,1,1,1,0,0,99.654,9930.919716,1,1,7.6,57.76
18358,1,0,0,0,0,1,1,1,0,0,1,1,127,5,1,1,1,1,1,0,105,11025,1,0,4,16
47960,0,0,1,0,0,1,1,1,0,0,1,0,123,5,1,1,1,1,1,0,120.95,14628.9025,1,0,3.7,13.69
1860,0,0,1,0,0,1,1,1,0,0,1,1,122,5,1,1,1,1,1,0,114.9,13202.01,1,0,3.3,10.89
77049,1,0,0,0,0,1,1,1,0,1,1,1,117,6,1,0,0,0,0,0,22.6,510.76,0,0,1.4,1.96
77953,0,0,1,0,0,1,1,1,0,0,1,1,123,5,1,1,1,1,1,0,121.826,14841.574276,1,0,3.2,10.24
29600,0,0,0,1,0,1,2,1,0,0,1,1,128,5,1,1,1,1,1,0,114.539,13119.182521,1,0,4.8,23.04
18452,0,0,1,0,0,1,1,1,0,0,0,0,116,5,1,1,1,1,1,1,153.97,23706.7609,1,0,3.3,10.89
82973,0,0,0,1,0,1,1,1,0,0,1,1,124,5,1,1,1,1,0,0,51.915,2695.167225,1,0,3.1,9.61
30797,1,0,0,0,0,1,1,1,0,0,2,1,114,6,0,0,0,0,0,0,18.157,329.676649,0,0,1.1,1.21
44126,1,0,0,0,0,1,1,1,0,0,1,1,124,5,1,1,1,1,0,0,86.372,7460.122384,0,0,2.3,5.29
52000,0,0,0,0,1,0,0,1,0,0,1,0,161,4,1,1,1,1,1,0,109.25,11935.5625,1,1,7.9,62.41
56323,0,0,1,0,0,0,1,1,0,0,1,1,164,5,1,1,1,1,0,0,70.726,5002.167076,1,0,4.5,20.25
83867,0,0,0,1,0,1,1,1,0,0,2,1,116,6,1,0,0,0,0,0,24.268,588.935824,1,0,3.1,9.61
19483,0,0,1,0,0,1,1,1,0,0,1,1,136,5,1,1,1,1,1,0,106.537,11350.132369,1,0,3.1,9.61
41121,0,0,0,1,0,0,3,1,0,0,1,1,182,4,1,1,1,1,1,1,161,25921,1,1,8.5,72.25
17629,0,0,1,0,0,1,1,1,0,0,1,1,120,5,1,1,1,1,1,1,159.102,25313.446404,1,0,4.5,20.25
69717,0,0,0,0,1,1,0,0,1,0,0,0,149,5,1,1,1,1,0,0,87,7569,1,0,5.8,33.64
92492,1,0,0,0,0,1,0,1,0,0,2,0,127,5,1,1,0,0,0,0,36.589,1338.754921,0,0,2.5,6.25
35818,0,0,1,0,0,0,1,1,0,0,1,1,142,5,1,0,0,0,0,0,26.629,709.103641,0,0,1.3,1.69
58698,0,0,1,0,0,1,1,1,0,0,1,1,122,5,1,1,1,1,1,0,143.65,20635.3225,1,0,3.3,10.89
90825,0,0,1,0,0,1,1,1,0,0,1,1,116,5,1,1,1,1,1,1,154.588,23897.449744,1,0,3.2,10.24
35343,0,0,0,1,0,1,2,0,1,0,0,1,163,5,1,1,1,1,0,0,66,4356,1,0,4.1,16.81
44936,0,0,0,1,0,1,1,1,0,0,2,0,119,5,1,1,1,1,0,0,50.309,2530.995481,1,0,3.1,9.61
76554,0,0,0,0,1,1,1,1,0,0,0,1,129,5,1,1,1,0,0,0,46.749,2185.469001,0,0,1.9,3.61
10997,1,0,0,0,0,1,2,1,0,0,0,0,199,4,1,1,1,1,1,0,148.2,21963.24,1,1,6.9,47.61
92521,0,0,0,0,1,1,1,1,0,0,0,1,154,5,1,1,1,1,1,1,187,34969,1,0,4.4,19.36
83772,0,0,1,0,0,1,0,1,0,0,1,1,163,4,1,1,1,1,1,1,169.85,28849.0225,1,1,6.5,42.25
38345,1,0,0,0,0,1,1,1,0,1,0,1,127,1,1,1,1,1,0,0,74.965,5619.751225,0,0,2.6,6.76
35569,0,0,1,0,0,1,1,1,0,0,1,1,139,5,1,1,1,1,0,0,72.924,5317.909776,1,0,4.1,16.81
6628,0,1,0,0,0,1,1,1,0,0,1,1,102,5,1,0,0,0,0,0,25.94,672.8836,0,0,1,1
90076,0,0,0,1,0,1,2,1,0,0,0,1,162,5,1,1,1,1,0,0,89,7921,1,1,6.1,37.21
102179,0,0,1,0,0,1,2,1,0,0,1,1,169,4,1,1,1,1,1,0,129.22,16697.8084,1,1,9.1,82.81
25263,0,1,0,0,0,1,1,1,0,0,0,1,128,5,1,1,1,1,1,0,134,17956,1,0,4.6,21.16
104468,0,0,0,0,1,1,0,1,0,0,2,1,119,5,1,1,1,1,0,0,99.846,9969.223716,1,0,5.5,30.25
